RR,Rain7,RH_avg,Tavg
0.1,0.1,81.0,27.4
0.0,0.1,77.0,27.9
2.1,2.2,74.0,28.6
0.0,2.2,73.0,27.6
0.0,2.2,78.0,27.3
0.8,3.0,79.0,27.4
2.5,5.5,75.0,27.9
0.8,5.4,81.0,27.4
1.6,7.0,87.0,26.9
1.5,6.4,86.0,26.1
0.8,6.4,74.0,27.6
0.0,6.4,86.0,26.4
17.3,22.9,79.0,28.7
0.0,20.4,82.0,27.0
0.0,20.4,78.0,27.6
0.0,18.8,77.0,27.9
0.0,17.3,72.0,28.5
0.6,17.900000000000002,77.0,27.9
0.0,17.900000000000002,77.0,28.6
0.0,0.6,74.0,29.1
0.0,0.6,75.0,29.0
0.0,0.6,75.0,29.2
0.0,0.6,71.0,29.7
0.0,0.6,69.0,29.9
0.0,0.0,71.0,29.2
0.0,0.0,75.0,28.1
0.0,0.0,72.0,28.9
0.0,0.0,72.0,29.2
0.0,0.0,74.0,29.0
0.0,0.0,76.0,28.6
0.3,0.3,91.0,25.0
27.0,27.3,79.0,28.0
0.0,27.3,79.0,28.4
0.0,27.3,75.0,29.0
7.0,34.3,86.0,26.4
0.8,34.3,83.0,26.9
0.8,34.3,80.0,28.0
24.1,58.10000000000001,88.0,26.6
0.8,31.100000000000005,82.0,27.7
0.0,31.1,82.0,27.0
0.8,31.1,80.0,28.1
0.8,24.1,80.0,28.6
0.8,24.1,75.0,28.4
0.0,24.1,78.0,28.0
0.0,0.0,76.0,28.0
0.0,0.0,83.0,27.8
1.2,1.2,96.0,25.6
49.7,50.900000000000006,82.0,27.7
0.8,50.900000000000006,84.0,27.7
11.6,62.50000000000001,76.0,29.1
3.6,66.10000000000001,88.0,25.8
0.4,66.5,86.0,26.6
0.8,66.5,82.0,27.6
0.0,65.3,90.0,25.7
8.9,24.5,87.0,25.9
0.3,24.8,83.0,26.5
0.0,13.2,81.0,26.9
0.0,9.6,83.0,26.9
0.0,9.2,75.0,27.6
0.8,9.2,76.0,28.7
0.0,9.2,73.0,28.5
0.0,0.3,73.0,28.8
0.8,0.0,75.0,28.9
15.5,15.5,80.0,29.2
13.0,28.5,80.0,27.1
0.5,29.0,88.0,25.8
0.8,29.0,78.0,28.9
0.1,29.1,80.0,28.2
0.8,29.1,73.0,29.9
8.3,37.4,76.0,28.7
0.0,21.9,85.0,26.8
4.8,13.7,82.0,27.1
0.1,13.3,88.0,26.6
8.2,21.5,87.0,26.1
0.0,21.4,74.0,28.2
0.8,21.4,81.0,27.2
1.6,14.7,81.0,27.6
0.4,15.1,77.0,27.5
0.0,10.3,84.0,26.7
0.8,10.2,76.0,28.0
0.8,2.8000000000000003,74.0,28.4
0.8,2.8000000000000003,75.0,28.8
0.1,2.9000000000000004,72.0,28.7
0.0,1.3,71.0,29.5
0.0,0.9,82.0,28.2
1.4,2.3,79.0,26.7
0.0,2.3,76.0,28.5
1.5,3.0,89.0,24.7
0.8,3.8,79.0,27.9
0.0,3.7,86.0,26.8
4.1,7.799999999999999,78.0,28.6
0.8,7.799999999999999,77.0,28.3
0.0,6.399999999999999,82.0,26.8
0.8,6.399999999999999,78.0,28.7
2.0,6.899999999999999,85.0,26.9
2.5,8.599999999999998,87.0,26.7
0.8,8.599999999999998,85.0,26.8
24.2,28.7,82.0,27.3
0.0,28.7,75.0,28.5
0.0,28.7,91.0,26.8
13.3,42.0,79.0,28.4
0.0,40.0,85.0,26.9
11.7,49.2,84.0,27.7
20.3,69.5,85.0,27.1
0.7,46.0,87.0,26.7
43.0,89.0,82.0,28.1
1.0,90.0,82.0,26.9
1.2,77.9,79.0,28.3
0.0,77.9,81.0,27.9
23.5,89.7,83.0,26.1
0.3,69.7,74.0,27.8
1.5,70.5,75.0,28.1
0.0,27.5,75.0,29.4
0.0,26.5,70.0,29.8
0.0,25.3,71.0,29.6
0.0,25.3,74.0,29.6
0.0,1.8,72.0,28.5
0.0,1.5,72.0,29.0
0.0,0.0,68.0,29.7
0.0,0.0,66.0,29.5
0.0,0.0,71.0,30.0
53.6,53.6,75.0,28.1
0.0,53.6,79.0,27.5
38.4,92.0,80.0,27.5
4.2,96.2,88.0,26.4
0.0,96.2,78.0,28.8
12.4,108.6,84.0,26.2
6.0,114.6,87.0,26.2
3.3,64.3,82.0,27.2
44.1,108.4,90.0,25.2
1.2,71.19999999999999,84.0,26.6
0.0,67.0,79.0,27.8
97.1,164.1,83.0,26.8
0.0,151.7,79.0,29.0
37.6,183.3,86.0,26.9
6.6,186.6,86.0,26.8
0.0,142.49999999999997,89.0,26.2
33.1,174.4,83.0,28.1
0.0,174.4,89.0,26.5
56.2,133.5,86.0,27.2
0.1,133.6,90.0,25.7
70.0,166.0,90.0,26.3
0.8,159.4,90.0,26.8
1.9,161.3,90.0,26.5
38.7,166.9,87.0,26.4
2.0,168.9,92.0,26.4
0.3,113.0,91.0,26.1
3.3,116.2,93.0,25.8
2.6,48.8,86.0,26.8
15.3,64.1,92.0,25.6
2.2,64.4,85.0,26.9
7.7,33.4,93.0,25.4
0.8,31.4,81.0,28.0
4.1,35.2,82.0,27.5
0.0,31.9,87.0,26.6
1.4,30.7,83.0,27.4
0.0,15.4,79.0,27.2
0.8,13.2,75.0,27.2
0.0,5.5,73.0,28.4
2.0,7.5,74.0,28.3
0.0,3.4,70.0,28.7
0.0,3.4,79.0,26.8
0.0,2.0,78.0,28.0
0.0,2.0,78.0,28.3
11.5,13.5,86.0,26.3
10.5,24.0,85.0,26.8
0.0,22.0,76.0,28.4
0.0,22.0,79.0,28.6
0.0,22.0,79.0,28.7
4.0,26.0,86.0,27.7
25.5,51.5,89.0,26.0
64.9,104.9,86.0,26.1
3.5,97.9,90.0,25.7
12.4,110.3,82.0,27.6
21.0,131.3,85.0,27.1
38.5,169.8,94.0,25.6
6.0,171.8,86.0,27.3
1.0,147.3,87.0,26.4
0.8,82.4,86.0,27.1
0.8,78.9,81.0,28.3
4.0,70.5,83.0,27.5
8.2,57.7,84.0,27.7
52.7,71.9,87.0,25.9
0.7,66.60000000000001,84.0,27.4
0.0,65.60000000000001,81.0,28.0
18.0,83.60000000000001,82.0,28.0
10.9,94.5,86.0,26.9
0.0,90.5,89.0,26.6
0.8,82.3,84.0,27.3
0.0,29.6,83.0,27.3
19.0,47.900000000000006,89.0,25.7
43.5,91.4,84.0,26.4
0.2,73.60000000000001,90.0,26.1
14.8,77.5,86.0,26.3
0.1,77.60000000000001,95.0,24.1
10.0,87.60000000000001,97.0,24.0
24.7,112.3,90.0,25.1
0.8,93.3,92.0,25.5
72.6,122.4,91.0,25.7
0.8,122.2,92.0,25.6
52.6,160.0,87.0,26.0
24.2,184.1,95.0,25.0
26.1,200.2,89.0,26.0
1.4,176.9,88.0,26.3
0.0,176.9,83.0,26.8
0.0,104.3,90.0,25.9
3.2,107.5,88.0,26.5
0.0,54.90000000000001,84.0,27.1
82.4,113.10000000000002,93.0,25.5
67.8,154.8,87.0,26.3
0.8,153.4,92.0,25.6
30.1,183.50000000000003,97.0,23.8
7.2,190.7,88.0,25.3
0.0,187.50000000000003,84.0,25.4
7.0,194.50000000000003,84.0,26.2
16.0,128.10000000000002,80.0,26.4
0.0,60.30000000000001,81.0,27.8
0.3,60.600000000000016,78.0,28.2
5.0,35.500000000000014,76.0,27.4
0.0,28.30000000000001,84.0,26.2
2.5,30.80000000000001,82.0,26.3
0.0,23.80000000000001,79.0,26.8
0.2,8.000000000000014,86.0,25.5
3.5,11.500000000000014,83.0,26.2
1.2,12.400000000000013,82.0,26.1
0.0,7.400000000000015,75.0,27.1
0.0,7.400000000000015,78.0,27.7
0.0,4.900000000000015,82.0,27.8
0.0,4.900000000000015,86.0,27.1
28.0,32.70000000000002,81.0,27.3
17.6,46.80000000000001,85.0,27.1
0.0,45.60000000000001,84.0,26.8
17.0,62.60000000000001,85.0,26.8
50.0,112.6,91.0,24.7
0.8,112.6,81.0,27.6
0.8,112.6,83.0,27.2
1.2,85.80000000000001,88.0,26.4
14.4,82.60000000000001,93.0,25.4
110.2,192.8,91.0,25.1
11.8,187.6,88.0,26.2
0.8,137.60000000000002,92.0,25.8
115.8,253.4,94.0,25.5
43.6,297.0,89.0,26.1
1.8,297.6,85.0,27.6
0.3,283.5,80.0,28.4
0.0,173.29999999999998,83.0,27.8
0.8,161.5,89.0,26.7
4.1,165.60000000000002,86.0,27.1
26.2,76.00000000000001,87.0,26.1
0.2,32.600000000000016,82.0,27.9
1.8,32.60000000000001,81.0,28.0
10.3,42.600000000000016,87.0,25.9
5.3,47.90000000000001,84.0,27.9
0.0,47.90000000000001,89.0,26.5
5.7,49.500000000000014,91.0,26.2
15.3,38.600000000000016,84.0,27.6
27.1,65.50000000000001,94.0,25.5
2.4,66.10000000000002,82.0,27.6
0.8,55.800000000000026,84.0,28.5
22.9,73.4,87.0,26.2
0.4,73.80000000000001,81.0,27.6
0.0,68.10000000000001,86.0,26.6
4.7,57.500000000000014,91.0,24.6
0.2,30.60000000000001,88.0,25.4
7.6,35.80000000000001,94.0,25.1
64.9,100.70000000000002,90.0,26.0
1.5,79.30000000000001,86.0,27.3
15.0,93.90000000000002,82.0,28.3
8.0,101.90000000000002,80.0,29.3
0.8,97.20000000000002,87.0,27.4
1.7,98.70000000000002,81.0,27.3
9.2,100.3,72.0,28.9
0.0,35.40000000000001,80.0,28.3
19.2,53.10000000000001,79.0,27.4
0.1,38.20000000000001,74.0,28.7
62.0,92.20000000000002,88.0,26.1
0.8,92.20000000000002,79.0,27.7
8.0,98.5,78.0,27.5
44.2,133.50000000000003,90.0,25.3
0.5,134.00000000000003,88.0,26.3
18.7,133.50000000000003,90.0,25.6
29.1,162.50000000000003,87.0,26.8
0.5,101.00000000000004,92.0,26.3
4.0,105.00000000000004,80.0,27.8
2.0,99.00000000000004,87.0,26.6
2.2,57.000000000000014,80.0,27.9
0.0,56.500000000000014,81.0,27.3
0.0,37.80000000000001,76.0,28.8
29.5,38.20000000000002,80.0,27.8
3.1,40.80000000000001,81.0,27.5
11.3,48.100000000000016,76.0,28.4
0.0,46.100000000000016,70.0,28.8
0.0,43.90000000000001,84.0,27.0
0.1,44.000000000000014,76.0,28.5
0.0,44.000000000000014,81.0,27.8
0.0,14.500000000000014,80.0,28.4
82.7,94.10000000000002,87.0,26.3
0.0,82.80000000000003,75.0,28.2
20.5,103.30000000000004,83.0,27.9
17.5,120.80000000000004,86.0,26.2
2.0,122.70000000000002,82.0,28.2
0.0,122.70000000000002,87.0,27.3
45.0,167.70000000000002,82.0,27.3
0.8,85.00000000000001,87.0,26.4
3.5,88.50000000000001,85.0,27.9
16.8,84.80000000000001,84.0,27.5
7.6,74.90000000000002,78.0,26.9
2.1,75.00000000000001,87.0,26.7
21.2,96.20000000000002,84.0,28.2
0.0,51.20000000000002,80.0,29.0
0.0,51.20000000000002,83.0,28.6
0.8,47.70000000000002,85.0,27.8
17.0,47.90000000000001,80.0,28.2
0.0,40.30000000000001,78.0,29.1
0.0,38.20000000000001,75.0,28.8
0.0,17.000000000000014,78.0,28.6
0.0,17.000000000000014,73.0,29.8
7.0,24.00000000000001,84.0,26.7
2.7,26.700000000000014,83.0,26.9
12.4,22.100000000000016,81.0,27.7
0.0,22.100000000000016,78.0,29.1
0.0,22.100000000000016,92.0,26.2
44.0,66.10000000000002,85.0,27.2
1.0,67.10000000000002,83.0,28.0
4.7,64.80000000000001,86.0,28.3
0.0,62.100000000000016,78.0,28.3
0.8,49.70000000000002,77.0,28.8
0.0,49.70000000000002,74.0,29.4
0.8,49.70000000000002,79.0,28.2
0.0,5.700000000000014,71.0,29.2
0.0,4.700000000000014,71.0,29.2
28.6,28.600000000000016,80.0,27.6
0.0,28.600000000000016,81.0,27.1
0.0,28.600000000000016,84.0,28.8
35.8,64.4,96.0,24.5
69.8,134.20000000000002,77.0,28.1
0.0,134.20000000000002,74.0,28.7
28.0,162.20000000000002,79.0,28.1
1.0,134.60000000000002,83.0,27.6
30.0,164.60000000000002,83.0,27.3
36.6,201.2,86.0,26.4
0.8,165.4,79.0,28.8
0.0,95.60000000000002,78.0,28.2
0.0,95.60000000000002,78.0,29.1
40.8,108.40000000000003,85.0,26.3
0.0,107.40000000000003,76.0,27.4
0.0,77.40000000000003,80.0,28.6
0.0,40.800000000000026,80.0,28.7
0.0,40.800000000000026,78.0,28.6
0.0,40.800000000000026,80.0,28.6
0.8,40.800000000000026,88.0,26.3
57.2,57.20000000000003,83.0,26.8
0.2,57.400000000000034,79.0,28.1
0.0,57.400000000000034,76.0,28.1
0.0,57.400000000000034,75.0,28.4
0.0,57.400000000000034,78.0,28.0
0.0,57.400000000000034,73.0,28.4
3.0,60.400000000000034,80.0,27.5
0.0,3.2000000000000286,72.0,29.1
0.0,3.0000000000000284,74.0,28.6
0.0,3.0000000000000284,75.0,29.0
0.0,3.0000000000000284,76.0,29.3
0.0,3.0000000000000284,75.0,26.9
7.0,10.000000000000028,77.0,26.9
0.0,7.000000000000028,78.0,28.0
0.0,7.000000000000028,76.0,28.7
0.8,7.000000000000028,81.0,27.5
0.0,7.000000000000028,82.0,28.6
0.0,7.000000000000028,88.0,26.3
3.7,10.700000000000028,91.0,25.8
0.0,3.7000000000000286,81.0,26.9
0.0,3.7000000000000286,78.0,26.8
0.0,3.7000000000000286,76.0,27.9
0.0,3.7000000000000286,76.0,27.5
0.0,3.7000000000000286,68.0,29.1
0.0,3.7000000000000286,71.0,28.5
0.8,0.8000000000000285,82.0,27.6
0.8,0.8000000000000285,81.0,27.9
0.0,0.8000000000000285,82.0,26.5
13.5,14.30000000000003,76.0,27.5
0.0,14.30000000000003,73.0,28.7
0.0,14.30000000000003,67.0,28.5
0.0,14.30000000000003,69.0,29.0
0.0,13.500000000000028,67.0,28.9
0.0,13.500000000000028,67.0,28.4
0.0,13.500000000000028,70.0,29.3
0.0,0.0,77.0,28.7
0.0,0.0,79.0,27.6
0.8,0.0,76.0,28.9
0.0,0.0,83.0,27.3
2.7,2.7000000000000286,84.0,27.0
0.0,2.7000000000000286,79.0,28.0
9.6,12.30000000000003,81.0,28.0
0.2,12.500000000000028,78.0,29.2
35.6,48.10000000000003,87.0,26.7
0.3,48.40000000000003,80.0,27.5
0.0,48.40000000000003,82.0,27.2
50.0,95.70000000000002,76.0,28.2
0.0,95.70000000000002,70.0,29.2
0.0,86.10000000000002,83.0,27.8
32.5,118.40000000000003,78.0,26.6
0.0,82.80000000000004,72.0,28.9
0.0,82.50000000000003,76.0,28.5
10.5,93.00000000000004,82.0,27.5
1.2,44.20000000000003,78.0,27.6
0.0,44.20000000000003,87.0,25.9
6.6,50.800000000000026,86.0,25.9
0.8,18.300000000000026,76.0,26.5
8.2,26.50000000000003,85.0,26.0
7.3,33.800000000000026,78.0,27.1
0.0,23.30000000000003,82.0,25.9
0.0,22.10000000000003,81.0,26.7
0.0,22.10000000000003,81.0,27.2
0.0,15.500000000000028,77.0,28.0
0.0,15.500000000000028,85.0,26.3
1.8,9.100000000000028,76.0,27.3
0.0,1.8000000000000285,77.0,27.6
0.0,1.8000000000000285,74.0,28.2
18.0,19.80000000000003,75.0,27.0
0.0,19.80000000000003,80.0,25.9
0.0,19.80000000000003,84.0,26.3
24.5,44.300000000000026,75.0,28.0
0.0,42.50000000000003,74.0,29.1
0.0,42.50000000000003,79.0,27.4
0.0,42.50000000000003,77.0,27.7
12.5,37.00000000000003,81.0,26.9
0.0,37.00000000000003,71.0,28.6
13.6,50.60000000000003,88.0,25.9
35.8,61.90000000000003,90.0,24.9
0.0,61.90000000000003,81.0,27.8
22.8,84.70000000000003,83.0,26.5
1.5,86.20000000000003,82.0,26.2
0.0,73.70000000000003,74.0,27.8
16.4,90.10000000000002,86.0,26.1
0.0,76.50000000000003,77.0,28.4
0.8,40.70000000000002,84.0,26.2
0.0,40.70000000000003,78.0,28.2
84.0,101.90000000000003,88.0,25.4
18.6,119.00000000000004,80.0,25.6
1.6,120.60000000000004,88.0,26.2
0.6,104.80000000000004,77.0,28.5
2.2,107.00000000000004,81.0,27.0
18.5,125.50000000000004,82.0,26.6
2.7,128.20000000000002,85.0,26.3
0.8,44.20000000000002,80.0,28.3
0.0,25.600000000000023,77.0,27.4
0.0,24.000000000000025,87.0,27.1
2.1,25.50000000000003,81.0,27.5
0.0,23.300000000000026,82.0,27.6
0.0,4.800000000000026,78.0,28.1
0.0,2.100000000000025,76.0,27.3
3.8,5.900000000000025,84.0,26.8
1.4,7.300000000000025,78.0,28.1
0.8,7.300000000000025,91.0,25.9
3.0,8.200000000000024,86.0,26.1
15.4,23.600000000000023,88.0,25.5
0.0,23.600000000000023,76.0,28.6
0.0,23.600000000000023,83.0,26.7
5.5,25.300000000000026,82.0,27.4
0.8,23.900000000000027,78.0,26.1
10.1,34.00000000000003,78.0,27.2
0.0,31.000000000000025,92.0,25.2
15.8,31.400000000000027,82.0,26.9
0.8,32.200000000000024,80.0,26.6
17.5,49.70000000000002,78.0,27.1
0.0,44.20000000000002,83.0,26.9
0.0,44.20000000000002,85.0,27.1
0.0,34.10000000000002,69.0,29.4
7.8,41.90000000000002,93.0,25.0
13.9,40.00000000000003,81.0,27.0
0.0,39.20000000000002,84.0,27.1
1.2,22.900000000000023,83.0,27.1
0.4,23.300000000000026,86.0,26.8
55.6,78.90000000000003,82.0,27.5
0.0,78.90000000000003,74.0,28.3
18.9,90.00000000000003,84.0,27.0
0.2,76.30000000000003,86.0,26.9
0.9,77.20000000000002,83.0,27.3
0.0,76.00000000000001,81.0,27.6
0.0,75.60000000000002,73.0,28.2
0.0,20.00000000000003,77.0,27.8
0.2,20.200000000000028,71.0,28.6
0.0,1.3000000000000285,66.0,29.0
0.0,1.1000000000000285,71.0,29.5
0.0,0.2000000000000284,64.0,29.9
0.0,0.2000000000000284,69.0,27.8
0.0,0.2000000000000284,63.0,29.5
0.0,0.2000000000000284,67.0,29.2
0.0,0.0,69.0,30.0
30.5,30.50000000000003,82.0,28.3
8.6,39.10000000000003,76.0,27.7
11.7,50.800000000000026,78.0,28.1
0.0,50.800000000000026,73.0,28.6
0.0,50.800000000000026,71.0,28.9
0.0,50.800000000000026,68.0,28.1
0.0,50.800000000000026,69.0,27.9
0.0,20.300000000000026,68.0,28.3
0.8,11.700000000000026,70.0,28.7
0.0,0.0,68.0,28.8
1.4,1.4000000000000283,71.0,28.2
0.0,1.4000000000000283,76.0,27.7
7.2,8.600000000000028,79.0,27.3
0.6,9.20000000000003,82.0,26.7
9.7,18.900000000000027,92.0,25.7
0.0,18.900000000000027,89.0,25.8
3.0,21.900000000000027,75.0,28.2
0.5,21.00000000000003,76.0,27.8
4.6,25.60000000000003,77.0,27.9
36.8,55.20000000000002,82.0,27.6
1.4,56.00000000000002,80.0,27.4
0.8,47.10000000000003,74.0,28.6
0.0,47.10000000000003,78.0,28.0
1.5,45.60000000000003,81.0,27.1
0.5,45.60000000000003,82.0,26.7
3.3,44.300000000000026,86.0,25.8
0.8,7.500000000000028,82.0,25.8
1.0,7.100000000000028,75.0,27.5
0.3,6.600000000000028,79.0,27.1
0.0,6.600000000000028,77.0,28.9
14.8,19.900000000000027,86.0,26.4
24.7,44.10000000000003,84.0,26.6
23.9,64.70000000000003,93.0,24.9
0.8,64.70000000000003,85.0,26.5
40.4,104.10000000000002,88.0,25.0
0.2,104.00000000000004,91.0,24.9
15.3,119.30000000000004,97.0,24.1
26.2,130.70000000000002,87.0,25.8
49.6,155.60000000000002,91.0,25.4
0.1,131.80000000000004,88.0,26.1
2.3,134.10000000000002,85.0,26.4
105.8,199.50000000000003,84.0,26.6
24.4,223.70000000000005,91.0,25.3
36.8,245.2,91.0,24.8
18.1,237.1,98.0,23.5
56.8,244.3,88.0,25.7
3.6,247.8,87.0,26.2
0.4,245.90000000000003,84.0,26.8
2.2,142.3,80.0,27.7
15.5,133.4,87.0,26.7
20.0,116.60000000000004,88.0,26.0
2.5,101.00000000000004,83.0,27.2
0.0,44.20000000000003,82.0,27.4
0.4,41.00000000000003,81.0,28.0
8.8,49.40000000000003,85.0,25.9
0.8,47.20000000000002,87.0,26.5
1.2,32.90000000000003,92.0,25.8
16.4,29.30000000000003,88.0,26.1
0.0,26.80000000000003,88.0,26.1
7.6,34.40000000000003,80.0,27.1
19.2,53.20000000000003,82.0,26.8
5.5,49.90000000000003,94.0,24.6
88.4,138.30000000000004,84.0,25.5
0.0,137.10000000000005,80.0,26.7
0.0,120.70000000000005,78.0,26.8
0.0,120.70000000000005,81.0,27.2
0.0,113.10000000000004,90.0,25.7
11.5,105.40000000000003,88.0,25.9
0.0,99.90000000000003,79.0,26.3
42.7,54.20000000000003,86.0,26.1
0.2,54.400000000000034,82.0,26.4
3.0,57.400000000000034,83.0,26.5
25.9,83.30000000000003,81.0,26.4
0.0,83.30000000000003,76.0,27.2
13.0,84.80000000000003,80.0,26.8
40.4,125.20000000000005,84.0,26.2
0.9,83.40000000000003,83.0,27.4
3.0,86.20000000000003,79.0,27.6
2.1,85.30000000000003,80.0,26.9
0.0,59.400000000000034,75.0,26.9
0.0,59.400000000000034,77.0,26.3
0.0,46.400000000000034,74.0,26.6
0.0,6.000000000000028,75.0,26.2
0.0,5.100000000000028,71.0,26.9
0.0,2.1000000000000285,78.0,26.1
0.0,0.0,77.0,26.3
0.0,0.0,75.0,26.8
0.0,0.0,75.0,26.9
3.2,3.2000000000000286,90.0,25.7
3.0,6.200000000000029,83.0,26.7
0.0,6.200000000000029,81.0,26.8
59.5,65.70000000000003,83.0,26.2
